File,Node Swap,Node Shift,Two-opt
a280.tsp, 1.5553383,4.297438,4.2260604
berlin52.tsp, 0.5562606,3.9178562,3.4267075
bier127.tsp, 3.412781,6.255827,6.080428
ch130.tsp, 2.8449802,8.016281,6.3743486
ch150.tsp, 1.889473,5.813213,4.245597
eil101.tsp, 1.5817208,5.2326484,2.8175716
eil51.tsp, 2.2727418,5.8168545,3.1139219
eil76.tsp, 1.5919192,4.643481,1.6035987
kroA100.tsp, 3.4010286,8.829397,7.4226074
kroB100.tsp, 3.209401,10.288575,7.7787185
kroC100.tsp, 1.9791172,4.793357,2.1470788
kroD100.tsp, 1.7953131,3.0170293,2.354363
kroE100.tsp, 5.1226873,7.787519,4.610652
lin105.tsp, 0.9420973,5.8649397,8.146296
lin318.tsp, 3.6197734,7.605239,8.609977
pr124.tsp, 2.0498042,3.2740626,7.139618
pr144.tsp, 1.3935552,1.5331538,16.652285
pr76.tsp, 0.91061944,2.227209,3.4157693
rat195.tsp, 6.6892953,10.542521,11.090482
rat99.tsp, 3.5533957,7.8792152,8.309398
st70.tsp, 1.4621643,9.994257,3.3876228
